Name, RA, DE, Redshift, Vlsr, DistMpc, Re, R50, incl, PA, logMstar, logSFR, logOH, AGN
UGC02099, 39.30423196, 21.56779105, 0.02732472, 8197.41600000, 119.63550497, 13.65408000, 8.31165070, 67.40284787, 46.81588845, 11.21622457, -0.41903349, 8.4715753, 0.00000000
UGC02134, 39.71584115, 27.84750792, 0.01514384, 4543.15200000, 65.68220496, 17.03196000, 8.15783030, 71.17213719, 14.83894186, 10.89406402, 0.37812524, 8.5685465, 0.00000000
UGC02229, 41.36356826, 0.91307663, 0.02435705, 7307.11500000, 106.39922704, 11.77308000, 7.26492400, 62.50900283, 55.90115183, 11.04387191, -0.46017964, 8.5337631, 0.00000000
UGC02311, 42.36646667, -0.87299036, 0.02377036, 7131.10800000, 103.78945168, 9.72576000, 5.86186562, 48.79587955, -42.88784595, 10.96001133, 0.37606200, 8.5446621, 0.00000000
UGC02319, 42.47320503, -1.00360006, 0.02330878, 6992.63400000, 101.73781950, 11.10384000, 8.91805375, 77.85768348, -44.58810775, 10.59142280, 0.04719250, 8.5587751, 0.00000000
UGC02628, 49.13170812, -0.46659799, 0.02260841, 6782.52300000, 98.62753212, 15.80832000, 10.15606005, 77.32462539, 34.41292251, 10.74526534, 0.31558717, 8.5517323, 0.00000000
UGC04145, 119.91744993, 15.38652621, 0.01520198, 4560.59400000, 65.93736256, 7.92792000, 3.09473473, 56.24021496, 52.28029043, 10.43525385, -0.75036686, 8.5248817, 0.00000000
UGC04197, 120.85902029, 10.05280291, 0.01515953, 4547.85900000, 65.75106104, 14.92524000, 8.50471780, 85.64148187, 41.81806618, 10.59951483, -0.32993465, 8.5317445, 0.00000000
UGC04240, 122.02562003, 14.83786690, 0.02844902, 8534.70600000, 124.66538124, 10.21680000, 9.12115295, 74.60293584, 76.01970682, 10.78742879, -0.13481255, 8.5221946, 0.00000000
UGC04245, 122.19076287, 18.19417455, 0.01724283, 5172.84900000, 74.90840875, 14.53716000, 6.40539482, 71.57643322, 18.50346408, 10.61877968, 0.31998097, 8.5686857, 0.00000000
UGC04375, 125.79706813, 22.66483047, 0.00663046, 1989.13800000, 28.56619718, 22.19976000, 3.37024178, 48.62294735, -8.24161481, 10.09448146, -0.68114728, 8.5567974, 0.00000000
UGC04455, 127.88702573, -1.19779981, 0.03113825, 9341.47500000, 136.73049272, 7.92000000, 7.66405264, 43.33629520, -40.28831293, 11.20896229, 0.00906592, 8.6533631, 0.00000000
UGC05396, 150.41873998, 10.75639663, 0.01785796, 5357.38800000, 77.61785434, 13.88376000, 7.84640510, 70.21501409, 61.92359260, 10.54653717, -0.06103180, 8.5413831, 0.00000000
UGC08322, 198.75389148, 12.72528334, 0.02526686, 7580.05800000, 110.45088237, 8.47440000, 6.73610208, 77.16101373, -52.23443377, 11.13078733, 0.09469105, 8.533043, 0.00000000
UGC08781, 208.09474833, 21.53946007, 0.02515960, 7547.88000000, 109.97293443, 12.00672000, 7.64938811, 57.05074293, 57.38442271, 11.09696535, 0.15295154, NaN, 0.00000000
UGC09777, 228.56294812, 20.47849532, 0.01555547, 4666.64100000, 67.48920546, 7.96356000, 3.16888759, 61.18299408, 53.14215432, 10.57148394, 0.25770575, 8.5341047, 0.00000000
UGC10117, 239.84951792, 21.60340843, 0.01802566, 5407.69800000, 78.35695881, 9.41292000, 3.32485870, 57.30234312, 37.93250590, 10.86665134, -0.08566662, 8.5810108, 0.00000000
